,star_score,reple,date
76,1,"암걸리고 더러운인간성을 많이뿌려놓고 어느정도회수해야되는데,,,볼수록 기분안좋아집니다 ,",2016-07-21 01:23:00
77,1,내용이 억지가 너무 심함.,2016-07-20 01:44:00
78,1,호감순 평점을 믿어라. 왜 1점이 많은지를. 알바에 속지말라.,2016-07-20 12:06:00
79,7,다크나이트에 7점 준 박평식이 7점이란다ㅋㅋㅋ 그냥 정치적 취향만 맞으면 밀어주는 집단광기는 평론가라고 다를게 없는걸까? 일단 7로 맞춰두고 몇시간뒤 보고와서 수정한다,2016-07-20 02:03:00
80,1,솔직히나는전설이다 레지던트이블 좀비보다가이거보니깐 스토리도없고 개연성도부족하고그냥 좀비되서 도망가는것뿐..,2016-07-20 10:32:00
81,1,소재만 신선했던... 나머지는 모두 엉망진창에 유치한 클리셰,2016-07-20 10:56:00
82,3,한국판 좀비영화임...노력은 가상하나 영화관에서 볼 정도는 아니고 명절때 티비로 보는 영화임ㅋㅋㅋ,2016-07-20 09:12:00
83,1,좀비 매니아는 절대 보면 안되는 영화,2016-07-20 07:40:00
84,1,다른건 다 그렇다 해도 공유가 마지막에 좀비입에다 손 넣는 것 너무 억지였다. 좀비가 되고 싶어 환장한줄,2016-07-21 09:06:00
85,10,마동석의 우리딸 이름.. 가슴이 찡했다,2016-07-20 22:39:00
86,1,참 뭐라평을 해야할지 모르겠네요  그저 보는내내 답답했읍니다,2016-07-20 23:33:00
87,1,"우리나라영화는뻔하지 국뽕, 억지감동, 가족스토리",2016-07-20 08:18:00
88,1,하하하하공유잘생겼다,2016-07-21 20:46:00
89,1,예고편이 전부에요 비추입니다 보지마세요,2016-07-20 11:11:00
90,7,'쾌속의 감흥에서 신파의 터널로' 박평식 한 줄 평이 딱 맞는다. 잘 팔리게 만드느라 아쉬워진 영화.,2016-07-20 16:01:00
91,1,"월드워Z나 워킹데드처럼은 기대도 안했다, 약간의 기대는 안드로 메다간듯--",2016-07-20 10:00:00
92,2,좀비영화 부산행은 처음시작할때 원인이 불명확한 바이러스가  확인 안된점과 급속도로 퍼지는 좀비들이 인간세상에 던진 이유가 없고. 좀비퇴치 결과가 너무 미흡해서 스릴도 약하고 코믹도 섞여 인기없다고봅니다.,2016-07-20 20:10:00
93,1,킬링타임용도 안됨 뜬금없는 상황에 뜬금없는 대사 뜬금없는 울음과 음악 아 이거보려고 아침일찍 영화관 간게 후회된다,2016-07-20 10:58:00
94,1,차라리 집에서 새벽의저주를 한번 더봐라..,2016-07-20 12:48:00
95,1,보면서 계속 시계 봤네요...,2016-07-20 10:39:00
96,1,난 잔혹한 좀비물을 보러왔지 휴머니즘을 앞세운 감동영화를 보려온게 아니다.,2016-07-20 11:31:00
97,7,좀비만보다 끝   내용도없고,2016-07-20 12:01:00
98,1,딱 5분 고라니가 치여서 비보잉하며 일어날때까진 좋았다 그 후 110분간 주구장창 좀비의 크어어어엉을 듣다가 축농증가능성이 농후한 아이의 노래를 들으며 끝나버렸다. 일단 좀비 발생과 확산 과정등 필요한 장면이 모두 짤려버렸기에 이해는 포기하는게 좋다 ,2016-07-22 00:32:00
